icoa	coq	cu	p	strain	dir	series	tested	issued	conforms	source	path
iCoA-PP_26-037	CoQ-PP_26-037	WC082501	P060012	Wedding Crusher	INITIAL	initial release	13.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-037_P060012_WC_Wedding_Crusher_Initial.html
iCoA-PP_26-038	CoQ-PP_26-038	CJ082501/1	P060022	Cap Junky	INITIAL	initial release	16.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-038_P060022_CJ_Cap_Junky_Initial.html
iCoA-PP_26-039	CoQ-PP_26-039	CJ082501/2	P060032	Cap Junky	INITIAL	initial release	29.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-039_P060032_CJ_Cap_Junky_Initial.html
iCoA-PP_26-040	CoQ-PP_26-040	OPM092501	P060042	Orange Punch Mimosa	INITIAL	initial release	29.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-040_P060042_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-041	CoQ-PP_26-041	AB092501	P060052	Apple and Banana	INITIAL	initial release	30.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-041_P060052_AB_Apple_and_Banana_Initial.html
iCoA-PP_26-042	CoQ-PP_26-042	PM092501	P060062	Permanent Marker	INITIAL	initial release	30.01.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-042_P060062_PM_Permanent_Marker_Initial.html
iCoA-PP_26-043	CoQ-PP_26-043	CJ092501	P060072	Cap Junky	INITIAL	initial release	02.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-043_P060072_CJ_Cap_Junky_Initial.html
iCoA-PP_26-044	CoQ-PP_26-044	SJ092501	P060082	Sleepy Joe	INITIAL	initial release	02.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-044_P060082_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-045	CoQ-PP_26-045	GP092501	P060092	Grape Pie	INITIAL	initial release	03.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-045_P060092_GP_Grape_Pie_Initial.html
iCoA-PP_26-046	CoQ-PP_26-046	WED102501	P060102	Wedding Cake	INITIAL	initial release	16.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-046_P060102_WED_Wedding_Cake_Initial.html
iCoA-PP_26-047	CoQ-PP_26-047	PUM102501	P060112	Pure Michigen	INITIAL	initial release	17.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-047_P060112_PUM_Pure_Michigen_Initial.html
iCoA-PP_26-048	CoQ-PP_26-048	ACC102501	P060122	Amnesia Core Cut	INITIAL	initial release	18.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-048_P060122_ACC_Amnesia_Core_Cut_Initial.html
iCoA-PP_26-049	CoQ-PP_26-049	CF102501	P060132	Chem Flyer	INITIAL	initial release	19.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-049_P060132_CF_Chem_Flyer_Initial.html
iCoA-PP_26-050	CoQ-PP_26-050	GRC102501/1	P060142	Grapes And Cream	INITIAL	initial release	23.02.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-050_P060142_GRC_Grapes_And_Cream_Initial.html
iCoA-PP_26-051	CoQ-PP_26-051	J31102501	P060152	Jokerz 31	INITIAL	initial release	05.03.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-051_P060152_J31_Jokerz_31_Initial.html
iCoA-PP_26-052	CoQ-PP_26-052	SJ102501		Sleepy Joe	INITIAL	initial release	09.03.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-052_SJ102501_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-053	CoQ-PP_26-053	KC102501	P060172	Kush Crasher	INITIAL	initial release	12.03.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-053_P060172_KC_Kush_Crasher_Initial.html
iCoA-PP_26-054	CoQ-PP_26-054	GRC102501/2	P060182	Grapes And Cream	INITIAL	initial release	14.03.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-054_P060182_GRC_Grapes_And_Cream_Initial.html
iCoA-PP_26-055	CoQ-PP_26-055	SJ112501		Sleepy Joe	INITIAL	initial release	31.03.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-055_SJ112501_SJ_Sleepy_Joe_Initial.html
iCoA-PP_26-056	CoQ-PP_26-056	J31112501		Jokerz 31	INITIAL	initial release	17.04.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-056_J31112501_J3_Jokerz_31_Initial.html
iCoA-PP_26-057	CoQ-PP_26-057	JD112501	P060212	Jelly Donuts	INITIAL	initial release	21.04.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-057_P060212_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-058	CoQ-PP_26-058	OPM112501		Orange Punch Mimosa	INITIAL	initial release	24.04.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-058_OPM112501_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-059	CoQ-PP_26-059	PM112501	P060232	Permanent Marker	INITIAL	initial release	27.04.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-059_P060232_PM_Permanent_Marker_Initial.html
iCoA-PP_26-060	CoQ-PP_26-060	OPM122501	P060242	Orange Punch Mimosa	INITIAL	initial release	28.04.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-060_P060242_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-061	CoQ-PP_26-061	GG112501		Gorilla Glue	INITIAL	initial release	05.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-061_GG112501_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-062	CoQ-PP_26-062	J31122501		Jokerz 31	INITIAL	initial release	14.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-062_J31122501_J3_Jokerz_31_Initial.html
iCoA-PP_26-063	CoQ-PP_26-063	CC112501		Cash Cow	INITIAL	initial release	18.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-063_CC112501_CC_Cash_Cow_Initial.html
iCoA-PP_26-064	CoQ-PP_26-064	SCR112501	P060282	Scrambler	INITIAL	initial release	18.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-064_P060282_SCR_Scrambler_Initial.html
iCoA-PP_26-065	CoQ-PP_26-065	FB112501		Fat Bastard	INITIAL	initial release	19.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-065_FB112501_FB_Fat_Bastard_Initial.html
iCoA-PP_26-066	CoQ-PP_26-066	GG012601		Gorilla Glue	INITIAL	initial release	20.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-066_GG012601_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-067	CoQ-PP_26-067	JD012601		Jelly Donuts	INITIAL	initial release	21.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-067_JD012601_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-068	CoQ-PP_26-068	P060332		Cash Cow	INITIAL	initial release	22.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-068_P060332_CC_Cash_Cow_Initial.html
iCoA-PP_26-069	CoQ-PP_26-069	FB012601/1	P060322	Fat Bastard	INITIAL	initial release	22.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-069_P060322_FB_Fat_Bastard_Initial.html
iCoA-PP_26-070	CoQ-PP_26-070	FB012602	P060352	Fat Bastard	INITIAL	initial release	23.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-070_P060352_FB_Fat_Bastard_Initial.html
iCoA-PP_26-071	CoQ-PP_26-071	JD012603/01	P060362	Jelly Donuts	INITIAL	initial release	23.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-071_P060362_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-072	CoQ-PP_26-072	CC012603	P060372	Cash Cow	INITIAL	initial release	24.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-072_P060372_CC_Cash_Cow_Initial.html
iCoA-PP_26-073	CoQ-PP_26-073	SCR012601	P060342	Scrambler	INITIAL	initial release	25.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-073_P060342_SCR_Scrambler_Initial.html
iCoA-PP_26-074	CoQ-PP_26-074	SCR012603	P060382	Scrambler	INITIAL	initial release	25.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-074_P060382_SCR_Scrambler_Initial.html
iCoA-PP_26-075	CoQ-PP_26-075	FB012603V		Fat Bastard	INITIAL	initial release	23.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-075_FB012603V_FB_Fat_Bastard_Initial.html
iCoA-PP_26-076	CoQ-PP_26-076	JD012603/02V	P060422	Jelly Donuts	INITIAL	initial release	23.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-076_P060422_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-077	CoQ-PP_26-077	GG012603	P060402	Gorilla Glue	INITIAL	initial release	24.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-077_P060402_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-078	CoQ-PP_26-078	JD012603/02	P060412	Jelly Donuts	INITIAL	initial release	24.05.2026	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-078_P060412_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-079	CoQ-PP_26-079	FB012603		Fat Bastard	INITIAL	initial release	15.06.2026	15.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-079_FB012603_FB_Fat_Bastard_Initial.html
iCoA-PP_26-080	CoQ-PP_26-080	SCR022601		Scrambler	INITIAL	initial release	18.06.2026	18.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-080_SCR022601_SCR_Scrambler_Initial.html
iCoA-PP_26-081	CoQ-PP_26-081	FB032601		Fat Bastard	INITIAL	initial release	29.06.2026	29.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-081_FB032601_FB_Fat_Bastard_Initial.html
iCoA-PP_26-082	CoQ-PP_26-082	GG032601		Gorilla Glue	INITIAL	initial release	16.07.2026	16.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-082_GG032601_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-083	CoQ-PP_26-083	JD022601		Jelly Donuts	INITIAL	initial release	05.08.2026	05.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-083_JD022601_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-084	CoQ-PP_26-084	JD042601	P060492	Jelly Donuts	INITIAL	initial release	13.08.2026	13.08.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-084_P060492_JD_Jelly_Donuts_Initial.html
iCoA-PP_26-098	CoQ-PP_26-085	BG1024	BG1024	Blue Gelato	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-098_BG1024_BG_Blue_Gelato_Retest_1.html
iCoA-PP_26-099	CoQ-PP_26-086	BSS1024	BSS1024	Blue Sunset Sherbet	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-099_BSS1024_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-087	CoQ-PP_26-087	P060332		Cash Cow	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-087_P060332_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-100	CoQ-PP_26-088	CJ052501/01	P050162	Cap Junky	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-100_P050162_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-091	CoQ-PP_26-089	CJ062501-2	P050212	Cap Junky	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-091_P050212_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-102	CoQ-PP_26-090	CJ082501/2	P060032	Cap Junky	RETEST	retest 1	21.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-102_P060032_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-107	CoQ-PP_26-091	FB012602	P060352	Fat Bastard	RETEST	retest 1	22.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-107_P060352_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-092	CoQ-PP_26-092	GG012603	P060402	Gorilla Glue	RETEST	retest 1	22.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-092_P060402_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-104	CoQ-PP_26-093	GG1024_01	P050092	Gorilla Glue	RETEST	retest 1	22.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-104_P050092_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-105	CoQ-PP_26-094	GP052501	P050152	Grape Pie	RETEST	retest 1	22.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-105_P050152_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-106	CoQ-PP_26-095	GP0824_02	P050022	Grape Pie	RETEST	retest 1	22.07.2026	27.07.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-106_P050022_GP_Grape_Pie_Retest_1.html
