Batch,Cultivation batch,Strain,#1,#2,#3,#4,#5,#6,#7,#8,#9.1,#9.2,#9.3,#9.4,#9.5,#9.6,#9.7,#10.1,#10.2,#10.3,#11.1,#11.2,#11.3,#11.4,#12
P050052,HPA1024_01,High Pro Amnesia,"iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-111, 27.07.2026 [internal]","iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-111, 27.07.2026 [internal]","ППК25155, 24.06.2025
197-14-К/26, 07.08.2026","ППК25155, 24.06.2025
197-14-К/26, 07.08.2026","ППК25155, 24.06.2025
197-14-К/26, 07.08.2026","ППК25155, 24.06.2025
197-14-К/26, 07.08.2026","iCoA-PP_26-010, 03.06.2026 [internal]
iCoA-PP_26-111, 27.07.2026 [internal]","ППК25155, 24.06.2025","587/1066/25, 18.06.2025","587/1066/25, 18.06.2025","587/1066/25, 18.06.2025","587/1066/25, 18.06.2025","587/1066/25, 18.06.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-14-М/26, 10.08.2026","2995/2025, 19.06.2025
197-14-М/26, 10.08.2026","release — not tested — no certificate covers it
197-14-М/26, 10.08.2026","2995/2025, 19.06.2025","2995/2025, 19.06.2025","2995/2025, 19.06.2025","2995/2025, 19.06.2025","2995/2025, 19.06.2025"
P050062,OPM1024_02,Orange Punch Mimosa,"iCoA-PP_26-011, 03.06.2026 [internal]
iCoA-PP_26-115, 27.07.2026 [internal]","iCoA-PP_26-011, 03.06.2026 [internal]
iCoA-PP_26-115, 27.07.2026 [internal]","ППК25154, 24.06.2025
197-18-К/26, 07.08.2026","ППК25154, 24.06.2025
197-18-К/26, 07.08.2026","ППК25154, 24.06.2025
197-18-К/26, 07.08.2026","ППК25154, 24.06.2025
197-18-К/26, 07.08.2026","iCoA-PP_26-011, 03.06.2026 [internal]
iCoA-PP_26-115, 27.07.2026 [internal]","ППК25154, 24.06.2025","588/1067/25, 18.06.2025","588/1067/25, 18.06.2025","588/1067/25, 18.06.2025","588/1067/25, 18.06.2025","588/1067/25, 18.06.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-18-М/26, 10.08.2026","2994/2025, 19.06.2025
197-18-М/26, 10.08.2026","release — not tested — no certificate covers it
197-18-М/26, 10.08.2026","2994/2025, 19.06.2025","2994/2025, 19.06.2025","2994/2025, 19.06.2025","2994/2025, 19.06.2025","2994/2025, 19.06.2025"
P050072,GP0824_03,Grape Pie,"iCoA-PP_26-012, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","iCoA-PP_26-012, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","ППК25175, 10.07.2025
220-11-К/26, 25.08.2026","ППК25175, 10.07.2025
220-11-К/26, 25.08.2026","ППК25175, 10.07.2025
220-11-К/26, 25.08.2026","ППК25175, 10.07.2025
220-11-К/26, 25.08.2026","iCoA-PP_26-012, 03.06.2026 [internal]
iCoA-PP_26-131, 17.08.2026 [internal]","ППК25175, 10.07.2025","628/1129/25, 02.07.2025","628/1129/25, 02.07.2025","628/1129/25, 02.07.2025","628/1129/25, 02.07.2025","628/1129/25, 02.07.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-11-М/26, 11.09.2026","3178/2025, 26.06.2025
220-11-М/26, 11.09.2026","release — not tested — no certificate covers it
220-11-М/26, 11.09.2026","3178/2025, 26.06.2025","3178/2025, 26.06.2025","3178/2025, 26.06.2025","3178/2025, 26.06.2025","3178/2025, 26.06.2025"
P050082,OPM1024_03,Orange Punch Mimosa,"iCoA-PP_26-013, 03.06.2026 [internal]
iCoA-PP_26-147, 17.08.2026 [internal]","iCoA-PP_26-013, 03.06.2026 [internal]
iCoA-PP_26-147, 17.08.2026 [internal]","ППК25210, 28.07.2025
220-23-К/26, 26.08.2026","ППК25210, 28.07.2025
220-23-К/26, 26.08.2026","ППК25210, 28.07.2025
220-23-К/26, 26.08.2026","ППК25210, 28.07.2025
220-23-К/26, 26.08.2026","iCoA-PP_26-013, 03.06.2026 [internal]
iCoA-PP_26-147, 17.08.2026 [internal]","ППК25210, 28.07.2025","766/1375/25, 29.07.2025","766/1375/25, 29.07.2025","766/1375/25, 29.07.2025","766/1375/25, 29.07.2025","766/1375/25, 29.07.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-23-М/26, 11.09.2026","3636/2025, 28.07.2025
220-23-М/26, 11.09.2026","release — not tested — no certificate covers it
220-23-М/26, 11.09.2026","3636/2025, 28.07.2025","3636/2025, 28.07.2025","3636/2025, 28.07.2025","3636/2025, 28.07.2025","3636/2025, 28.07.2025"
P050092,GG1024_01,Gorilla Glue,"iCoA-PP_26-014, 03.06.2026 [internal]
iCoA-PP_26-104, 27.07.2026 [internal]","iCoA-PP_26-014, 03.06.2026 [internal]
iCoA-PP_26-104, 27.07.2026 [internal]","ППК25104, 17.04.2025
197-9-К/26, 07.08.2026","ППК25104, 17.04.2025
197-9-К/26, 07.08.2026","ППК25104, 17.04.2025
197-9-К/26, 07.08.2026","ППК25104, 17.04.2025
197-9-К/26, 07.08.2026","iCoA-PP_26-014, 03.06.2026 [internal]
iCoA-PP_26-104, 27.07.2026 [internal]","ППК25104, 17.04.2025","320/0587/25, 14.04.2025","320/0587/25, 14.04.2025","320/0587/25, 14.04.2025","320/0587/25, 14.04.2025","320/0587/25, 14.04.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-9-М/26, 10.08.2026","1766/2025, 11.04.2025
197-9-М/26, 10.08.2026","release — not tested — no certificate covers it
197-9-М/26, 10.08.2026","1766/2025, 11.04.2025","1766/2025, 11.04.2025","1766/2025, 11.04.2025","1766/2025, 11.04.2025","1766/2025, 11.04.2025"
P050102,GP0824_01,Grape Pie,"iCoA-PP_26-015, 03.06.2026 [internal]
iCoA-PP_26-154, 24.08.2026 [internal]","iCoA-PP_26-015, 03.06.2026 [internal]
iCoA-PP_26-154, 24.08.2026 [internal]","ППК25105, 17.04.2025
227-2-К/26, 11.09.2026","ППК25105, 17.04.2025
227-2-К/26, 11.09.2026","ППК25105, 17.04.2025
227-2-К/26, 11.09.2026","release — not tested — no certificate covers it
227-2-К/26, 11.09.2026","iCoA-PP_26-015, 03.06.2026 [internal]
iCoA-PP_26-154, 24.08.2026 [internal]","ППК25105, 17.04.2025","318/0585/25, 14.04.2025","318/0585/25, 14.04.2025","318/0585/25, 14.04.2025","318/0585/25, 14.04.2025","318/0585/25, 14.04.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","1767/2025, 11.04.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","1767/2025, 11.04.2025","1767/2025, 11.04.2025","1767/2025, 11.04.2025","1767/2025, 11.04.2025","1767/2025, 11.04.2025"
P050112,MB0824_05,Motor Breath,"iCoA-PP_26-016, 03.06.2026 [internal]
iCoA-PP_26-140, 17.08.2026 [internal]","iCoA-PP_26-016, 03.06.2026 [internal]
iCoA-PP_26-140, 17.08.2026 [internal]","ППК25211, 28.07.2025
220-20-К/26, 26.08.2026","ППК25211, 28.07.2025
220-20-К/26, 26.08.2026","ППК25211, 28.07.2025
220-20-К/26, 26.08.2026","ППК25211, 28.07.2025
220-20-К/26, 26.08.2026","iCoA-PP_26-016, 03.06.2026 [internal]
iCoA-PP_26-140, 17.08.2026 [internal]","ППК25211, 28.07.2025","767/1376/25, 29.07.2025","767/1376/25, 29.07.2025","767/1376/25, 29.07.2025","767/1376/25, 29.07.2025","767/1376/25, 29.07.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
220-20-М/26, 11.09.2026","3638/2025, 28.07.2025
220-20-М/26, 11.09.2026","release — not tested — no certificate covers it
220-20-М/26, 11.09.2026","3638/2025, 28.07.2025","3638/2025, 28.07.2025","3638/2025, 28.07.2025","3638/2025, 28.07.2025","3638/2025, 28.07.2025"
P050122,BSS1024_01,Blue Sunset Sherbet,"iCoA-PP_26-087, 03.06.2026 [internal]
iCoA-PP_26-174, 24.08.2026 [internal]","iCoA-PP_26-087, 03.06.2026 [internal]
iCoA-PP_26-174, 24.08.2026 [internal]","ППК25176, 10.07.2025
227-29-К/26, 11.09.2026","ППК25176, 10.07.2025
227-29-К/26, 11.09.2026","ППК25176, 10.07.2025
227-29-К/26, 11.09.2026","release — not tested — no certificate covers it
227-29-К/26, 11.09.2026","iCoA-PP_26-087, 03.06.2026 [internal]
iCoA-PP_26-174, 24.08.2026 [internal]","ППК25176, 10.07.2025","626/1127/25, 02.07.2025","626/1127/25, 02.07.2025","626/1127/25, 02.07.2025","626/1127/25, 02.07.2025","626/1127/25, 02.07.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","3177/2025, 26.06.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","3177/2025, 26.06.2025","3177/2025, 26.06.2025","3177/2025, 26.06.2025","3177/2025, 26.06.2025","3177/2025, 26.06.2025"
P050132,OPM052501,Orange Punch Mimosa,"iCoA-PP_26-017, 03.06.2026 [internal]
iCoA-PP_26-172, 24.08.2026 [internal]","iCoA-PP_26-017, 03.06.2026 [internal]
iCoA-PP_26-172, 24.08.2026 [internal]","ППК25257, 05.09.2025
227-11-К/26, 11.09.2026","ППК25257, 05.09.2025
227-11-К/26, 11.09.2026","ППК25257, 05.09.2025
227-11-К/26, 11.09.2026","release — not tested — no certificate covers it
227-11-К/26, 11.09.2026","iCoA-PP_26-017, 03.06.2026 [internal]
iCoA-PP_26-172, 24.08.2026 [internal]","ППК25257, 05.09.2025","904/1589/25, 02.09.2025","904/1589/25, 02.09.2025","904/1589/25, 02.09.2025","904/1589/25, 02.09.2025","904/1589/25, 02.09.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4157/2025, 29.08.2025
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","4157/2025, 29.08.2025","4157/2025, 29.08.2025","4157/2025, 29.08.2025","4157/2025, 29.08.2025","4157/2025, 29.08.2025"
P050152,GP052501,Grape Pie,"iCoA-PP_26-018, 03.06.2026 [internal]
iCoA-PP_26-105, 27.07.2026 [internal]","iCoA-PP_26-018, 03.06.2026 [internal]
iCoA-PP_26-105, 27.07.2026 [internal]","ППК25279, 19.09.2025
197-10-К/26, 07.08.2026","ППК25279, 19.09.2025
197-10-К/26, 07.08.2026","ППК25279, 19.09.2025
197-10-К/26, 07.08.2026","ППК25279, 19.09.2025
197-10-К/26, 07.08.2026","iCoA-PP_26-018, 03.06.2026 [internal]
iCoA-PP_26-105, 27.07.2026 [internal]","ППК25279, 19.09.2025","946/1684/25, 17.09.2025","946/1684/25, 17.09.2025","946/1684/25, 17.09.2025","946/1684/25, 17.09.2025","946/1684/25, 17.09.2025",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
197-10-М/26, 10.08.2026","4348/2025, 15.09.2025
197-10-М/26, 10.08.2026","release — not tested — no certificate covers it
197-10-М/26, 10.08.2026","4348/2025, 15.09.2025","4348/2025, 15.09.2025","4348/2025, 15.09.2025","4348/2025, 15.09.2025","4348/2025, 15.09.2025"
P050142,BSS1024_01/2,Blue Sunset Sherbet,"iCoA-PP_26-019, 03.06.2026 [internal]
iCoA-PP_26-153, 24.08.2026 [internal]","iCoA-PP_26-019, 03.06.2026 [internal]
iCoA-PP_26-153, 24.08.2026 [internal]","release — to be performed — see route
227-1-К/26, 11.09.2026","release — not tested — no certificate covers it
227-1-К/26, 11.09.2026","release — not tested — no certificate covers it
227-1-К/26, 11.09.2026","release — not tested — no certificate covers it
227-1-К/26, 11.09.2026","iCoA-PP_26-019, 03.06.2026 [internal]
iCoA-PP_26-153, 24.08.2026 [internal]","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it",release — upon request — not required for release,release — upon request — not required for release,"release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — awaiting the mycotoxin re-analysis — Farmahem","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it","release — not tested — no certificate covers it
reissue — 12-month retest — carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — not tested — no certificate covers it"
