coq	series	p_lot	cultivation_batch	row	parameter	class	carried_from_initial	register_status	certificates_that_report_it
CoQ-PP_26-052	initial		SJ102501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-6-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-052	initial		SJ102501	10.2	Aflatoxins total	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	exact 227-6-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-052	initial		SJ102501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-6-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-052	initial		SJ102501	11.1	Lead	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-052	initial		SJ102501	11.2	Cadmium	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-052	initial		SJ102501	11.3	Arsenic	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-052	initial		SJ102501	11.4	Mercury	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-052	initial		SJ102501	12	Pesticide residues	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	exact 1065/2026 11.03.2026 = н.д. — all 26
CoQ-PP_26-055	initial		SJ112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-5-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-055	initial		SJ112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-5-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-056	initial		J31112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-14-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-056	initial		J31112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-14-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-058	initial		OPM112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-10-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-058	initial		OPM112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-10-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-061	initial		GG112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-20-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-061	initial		GG112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-20-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-062	initial		J31122501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-13-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-062	initial		J31122501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-13-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-063	initial		CC112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-25-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-063	initial		CC112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-25-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-065	initial		FB112501	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-22-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-065	initial		FB112501	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-22-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-066	initial		GG012601	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-21-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-066	initial		GG012601	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-21-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-067	initial		JD012601	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-15-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-067	initial		JD012601	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-15-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-068	initial		P060332	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-068	initial		P060332	11.1	Lead	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-068	initial		P060332	11.2	Cadmium	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-068	initial		P060332	11.3	Arsenic	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-068	initial		P060332	11.4	Mercury	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-068	initial		P060332	12	Pesticide residues	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	11.1	Lead	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	11.2	Cadmium	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	11.3	Arsenic	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	11.4	Mercury	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-073	initial	P060342	SCR012601	12	Pesticide residues	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-075	initial		FB012603V	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-23-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-075	initial		FB012603V	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-23-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-079	initial		FB012603	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-24-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-079	initial		FB012603	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-24-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-080	initial		SCR022601	10.1	Aflatoxin B1	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-7-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-080	initial		SCR022601	10.3	Ochratoxin A	LATER-ROUND		not tested at release — the IPH certificate reports total aflatoxins o	exact 227-7-М/26 16.09.2026 = ND (after the CoQ)
CoQ-PP_26-160	retest	P060342	SCR012601	8	Loss on drying	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-160	retest	P060342	SCR012601	11.1	Lead	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-160	retest	P060342	SCR012601	11.2	Cadmium	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-160	retest	P060342	SCR012601	11.3	Arsenic	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-160	retest	P060342	SCR012601	11.4	Mercury	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-160	retest	P060342	SCR012601	12	Pesticide residues	UNTESTED		not tested — no certificate for this lot; requested from the laborator	
CoQ-PP_26-162	retest		SJ102501	11.1	Lead	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-162	retest		SJ102501	11.2	Cadmium	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-162	retest		SJ102501	11.3	Arsenic	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
CoQ-PP_26-162	retest		SJ102501	11.4	Mercury	PENDING		awaiting the complete scan of IPH 1065/2026 — every copy holds pages 1	
