tranche,batch_as_delivered,p_lot,strain_as_delivered,coq_code,issue_date,supersedes,supersedes_issued,draftable,reason
2,GP092501,P060092,Grape Pie,— at issue —,,CoQ-PP_26-045,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,PUM102501,P060112,Pure Michigen,— at issue —,,CoQ-PP_26-047,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,ACC102501,P060122,Amnesia Core Cut,— at issue —,,CoQ-PP_26-048,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CF102501,P060132,Chem Flyer,— at issue —,,CoQ-PP_26-049,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,KC102501,P060172,Kush Crasher,— at issue —,,CoQ-PP_26-053,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,GRC102501/2,P060182,Grapes and Cream,— at issue —,,CoQ-PP_26-054,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,PM112501,P060232,Permanent Marker,— at issue —,,CoQ-PP_26-059,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,SCR112501,P060282,Scrambler,— at issue —,,CoQ-PP_26-064,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,FB012601/1,P060322,Fat Bastard,— at issue —,,CoQ-PP_26-067,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,JD012603/01,P060362,Jelly Donuts,— at issue —,,CoQ-PP_26-073,07.07.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CC012603,P060372,Cash Cow,— at issue —,,CoQ-PP_26-069,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,JD012603/02,P060412,Jelly Donuts,— at issue —,,CoQ-PP_26-076,07.07.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,JD012603/02V,P060422,Jelly Donuts,— at issue —,,CoQ-PP_26-074,07.07.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,AB092501,AB092501,Apple and Banana,— at issue —,,CoQ-PP_26-041,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,BSS1024_01,BSS1024_01,Blue Sunset Sherbet,— at issue —,,— initial certificate not yet numbered —,,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,CC112501,CC112501,Cash Cow,— at issue —,,CoQ-PP_26-063,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,CJ052501-2,CJ052501-2,Cup Junky,— at issue —,,CoQ-PP_26-023,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,CJ072501,CJ072501,Cup Junky,— at issue —,,CoQ-PP_26-029,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,CJ1024,CJ1024,Cup Junky,— at issue —,,CoQ-PP_26-001,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,FB012603,FB012603,Fat Bastard,— at issue —,,CoQ-PP_26-077,07.07.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,FB012603V,FB012603V,FatBastard,— at issue —,,CoQ-PP_26-072,07.07.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,FB112501,FB112501,Fat Bastard,— at issue —,,CoQ-PP_26-065,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GG012601,GG012601,Gorilla Glue,— at issue —,,— initial certificate not yet numbered —,,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GG1024_02,GG1024_02,Gorilla Glue,— at issue —,,CoQ-PP_26-008,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GG112501,GG112501,Gorilla Glue,— at issue —,,CoQ-PP_26-061,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GP062501,GP062501,Grape Pie,— at issue —,,CoQ-PP_26-026,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GP072501-1,GP072501-1,Grape Pie,— at issue —,,CoQ-PP_26-033,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,GP0824_01,GP0824_01,Grape Pie,— at issue —,,CoQ-PP_26-016,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,J31112501,J31112501,Jokerz 31,— at issue —,,CoQ-PP_26-056,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,J31122501,J31122501,Jokerz 31,— at issue —,,CoQ-PP_26-062,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,JD012601,JD012601,Jelly Donutz,— at issue —,,— initial certificate not yet numbered —,,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,MB0824_04,MB0824_04,Motor Breath,— at issue —,,CoQ-PP_26-009,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,OPM052501,OPM052501,Orange Punch Mimosa,— at issue —,,CoQ-PP_26-019,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,OPM112501,OPM112501,Orange Punch Mimosa,— at issue —,,CoQ-PP_26-058,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,PM072501,PM072501,Permanent Market,— at issue —,,CoQ-PP_26-031,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,SCR022601,SCR022601,Scrambler,— at issue —,,CoQ-PP_26-078,13.07.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,SJ102501,SJ102501,Sleepy Joy,— at issue —,,CoQ-PP_26-052,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,SJ112501,SJ112501,Sleepy Joy,— at issue —,,CoQ-PP_26-055,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
3,WC072501,WC072501,Wedding Crasher,— at issue —,,CoQ-PP_26-030,06.06.2026,no,Tranche 3: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
—,FB032601,FB032601,FatBastard,— at issue —,,CoQ-PP_26-079,28.07.2026,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
—,GG032601,GG032601,GorillaGlue,— at issue —,,CoQ-PP_26-080,28.07.2026,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
—,JD022601,JD022601,JellyDonutz,— at issue —,,CoQ-PP_26-081,05.08.2026,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
—,P160012,P160012,GrapePie,— at issue —,,— initial certificate not yet numbered —,,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
—,P160022,P160022,GrapePie,— at issue —,,— initial certificate not yet numbered —,,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
—,P160032,P160032,GrapePie,— at issue —,,— initial certificate not yet numbered —,,no,no retest campaign sampling on file for this lot (iCoA Register: not numbered)
