Tranche	Seq	Batch	P-Number	Strain	Covered	Of	Missing parameters
2	53	PM112501	P060232	Permanent Market	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	56	SCR112501	P060282	Scrambler	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	63	FB012601/1	P060322	Fat Bastard	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	69	JD012603/2	P060412	Jelly Donutz	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	70	JD012603/2V	P060422	Jelly Donutz	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	2	MB0824_04	P050032	Motor Breath	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	8	CJ1024		Cup Junky	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	12	GG1024_02	P050012	Gorilla Glue	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	19	OPM052501	P050132	Orange Punch Mimosa	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	22	CJ052501/2	P050172	Cup Junky	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	25	GP062501	P050202	Grape Pie	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
3	28	CJ072501	P050252	Cup Junky	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	29	WC072501	P050262	Wedding Crasher	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	30	PM072501	P050272	Permanent Market	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
3	32	GP072501/1	P050292	Grape Pie	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	40	AB092501	P060052	Apple and Banana	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
3	46	SJ102501	P060162	Sleepy Joy	4	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	49	SJ112501	P060192	Sleepy Joy	4	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	50	J31112501	P060202	Jokerz 31	4	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	52	OPM112501	P060222	Orange Punch Mimosa	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	54	GG112501	P060252	Gorilla Glue	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	55	CC112501	P060272	Cash Cow	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	57	FB112501	P060292	Fat Bastard	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	59	J31122501	P060262	Jokerz 31	15	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Ochratoxin A
3	60	FB012603		Fat Bastard	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	61	GG012601	P060302	Gorilla Glue	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	62	JD012601	P060312	Jelly Donutz	3	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	67	FB012603V	P060392	Fat Bastard	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
3	72	SCR022601		Scrambler	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
