#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
34	2025-08	CoQ-PP-2026-0034	CJ082501/1	P060022	Cap Junky	CJ_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #041, 20.02.2026, PP	Conforms	iCoA-PP-2026-0060 (proposed), 13.08.2026, PP	Confirms	ППК26002, 21.01.2026, CNP	24.96	Grade II, 19.75 – 25.25	ППК26002, 21.01.2026, CNP	0.09	ППК26002, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #041, 20.02.2026, PP	7.21	ППК26002, 21.01.2026, CNP	1.5×10^2	8/0011/26, 20.01.2026, IPH	1.3×10^2	8/0011/26, 20.01.2026, IPH	<10	8/0011/26, 20.01.2026, IPH	Odgovara (Absent)	8/0011/26, 20.01.2026, IPH	Odgovara (Absent)	8/0011/26, 20.01.2026, IPH	Missing / not tested	—	<2	81/2026, 02.02.2026, IPH	Missing / not tested	—	0.075	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Н.д.	81/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	81/2026, 02.02.2026, IPH
36	2025-08	CoQ-PP-2026-0036	GP082501/1	P050312	Grape Pie	GP_THC20:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0063 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0063 (proposed), 13.08.2026, PP	Missing / not tested	—	21.29	Grade III, 18.00 – 22.00	PP CoA #020 / ППК25380, 21.01.2026, CNP	0.08	PP CoA #020 / ППК25380, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0062 (proposed), 13.08.2026, PP	6.29	PP CoA #020 / ППК25380, 21.01.2026, CNP	4.3×10^2	1226/2192/25, Issued Dec 2025, IPH	1×10^3	1226/2192/25, Issued Dec 2025, IPH	< 10^3 and > 10^2	1226/2192/25, Issued Dec 2025, IPH	Odgovara (Absent)	1226/2192/25, Issued Dec 2025, IPH	Odgovara (Absent)	1226/2192/25, Issued Dec 2025, IPH	Missing / not tested	—	<2	5888/2025, 12.12.2025, IPH	Missing / not tested	—	0.014	5888/2025, 12.12.2025, IPH	0.003	5888/2025, 12.12.2025, IPH	0.02	5888/2025, 12.12.2025, IPH	0.017	5888/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5888/2025, 12.12.2025, IPH
38	2025-08	CoQ-PP-2026-0038	WC082501	P060012	Wedding Crasher	WC_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #035, 20.02.2026, PP	Conforms	iCoA-PP-2026-0066 (proposed), 13.08.2026, PP	Confirms	ППК26001, 21.01.2026, CNP	21.67	Grade II, 20.00 – 25.00	ППК26001, 21.01.2026, CNP	0.08	ППК26001, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #035, 20.02.2026, PP	7.50	ППК26001, 21.01.2026, CNP	10	3/0006/26, 20.01.2026, IPH	30	3/0006/26, 20.01.2026, IPH	<10	3/0006/26, 20.01.2026, IPH	Odgovara (Absent)	3/0006/26, 20.01.2026, IPH	<10	3/0006/26, 20.01.2026, IPH	Missing / not tested	—	<2	80/2026, 02.02.2026, IPH	Missing / not tested	—	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Н.д.	80/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	80/2026, 02.02.2026, IPH
40	2025-09	CoQ-PP-2026-0040	CJ092501	P060072	Cap Junky	CJ_THC22.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #039, 20.02.2026, PP	Conforms	iCoA-PP-2026-0069 (proposed), 13.08.2026, PP	Confirms	ППК26007, 21.01.2026, CNP	22.30	Grade II, 19.75 – 25.25	ППК26007, 21.01.2026, CNP	0.10	ППК26007, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #039, 20.02.2026, PP	7.64	ППК26007, 21.01.2026, CNP	<10	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	Odgovara (Absent)	10/0013/26, 20.01.2026, IPH	<10	10/0013/26, 20.01.2026, IPH	Missing / not tested	—	<2	86/2026, 02.02.2026, IPH	Missing / not tested	—	0.04	86/2026, 02.02.2026, IPH	Н.д.	86/2026, 02.02.2026, IPH	Н.д.	86/2026, 02.02.2026, IPH	0.004	86/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	86/2026, 02.02.2026, IPH
41	2025-09	CoQ-PP-2026-0041	GP092501	P060092	Grape Pie	GP_THC24:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #033, 20.02.2020 [see source], PP	Conforms	iCoA-PP-2026-0070 (proposed), 13.08.2026, PP	Confirms	ППК26009, 21.01.2026, CNP	25.73	Grade II, 22.00 – 26.00	ППК26009, 21.01.2026, CNP	0.11	ППК26009, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #033, —, PP	6.91	ППК26009, 21.01.2026, CNP	1 x 10^2	5/0008/26, 20.01.2026 [see source], IPH	<10	5/0008/26, 20.01.2026 [see source], IPH	< 10^2 and > 10	5/0008/26, 20.01.2026 [see source], IPH	Одговара (Complies/Absent)	5/0008/26, 20.01.2026 [see source], IPH	Одговара (Complies/Absent)	5/0008/26, 20.01.2026 [see source], IPH	Missing / not tested	—	<2	88/2026, 03.02.2026, IPH	Missing / not tested	—	0.022	88/2026, 03.02.2026, IPH	н.д.	88/2026, 03.02.2026, IPH	н.д.	88/2026, 03.02.2026, IPH	0.007	88/2026, 03.02.2026, IPH	Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д.	88/2026, 03.02.2026, IPH
42	2025-09	CoQ-PP-2026-0042	OPM092501	P060042	Orange Punch Mimosa	OPM_THC10:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #040, 20.02.2026, PP	Conforms	iCoA-PP-2026-0071 (proposed), 13.08.2026, PP	Confirms	ППК26008, 21.01.2026, CNP	9.43	Grade IV, 7.09 – 13.00	ППК26008, 21.01.2026, CNP	0.04	ППК26008, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #040, 20.02.2026, PP	7.85	ППК26008, 21.01.2026, CNP	10	2/0005/26, 20.01.2026, IPH	10	2/0005/26, 20.01.2026, IPH	< 10^2 and > 10	2/0005/26, 20.01.2026, IPH	Odgovara (Absent)	2/0005/26, 20.01.2026, IPH	Odgovara (Absent)	2/0005/26, 20.01.2026, IPH	Missing / not tested	—	2.2	87/2026, 03.02.2026, IPH	Missing / not tested	—	0.022	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Н.д.	87/2026, 03.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	87/2026, 03.02.2026, IPH
44	2025-09	CoQ-PP-2026-0044	SJ092501	P060082	Sleepy Joy	SJ_THC10.5:CBD1	R1 · Jan–Feb 2026	Confirms	PP CoA #038, 20.02.2026, PP	Conforms	iCoA-PP-2026-0073 (proposed), 13.08.2026, PP	Confirms	ППК26006, 21.01.2026, CNP	10.96	Grade IV, 7.75 – 13.00	ППК26006, 21.01.2026, CNP	0.07	ППК26006, 21.01.2026, CNP	Missing / not tested	—	Confirms	PP CoA #038, 20.02.2026, PP	8.68	ППК26006, 21.01.2026, CNP	<10	9/0012/26, 20.01.2026, IPH	<10	9/0012/26, 20.01.2026, IPH	<10	9/0012/26, 20.01.2026, IPH	Odgovara (Absent)	9/0012/26, 20.01.2026, IPH	Odgovara (Absent)	9/0012/26, 20.01.2026, IPH	Missing / not tested	—	2	85/2026, 02.02.2026, IPH	Missing / not tested	—	0.08	85/2026, 02.02.2026, IPH	Н.д.	85/2026, 02.02.2026, IPH	Н.д.	85/2026, 02.02.2026, IPH	0.003	85/2026, 02.02.2026, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	85/2026, 02.02.2026, IPH
—	2025-10	—	ACC102501	—	Amnesia Core Cut	—	R1	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
—	2025-10	—	CF102501	—	Chem Flyer	—	R1	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
45	2025-10	CoQ-PP-2026-0045	GRC102501/2	P060182	Graps & Creme	GRC_THC12.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0075 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0075 (proposed), 13.08.2026, PP	Missing / not tested	—	11.53	Grade IV, 10.00 – 15.00	051-6-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-6-K/26, 04.03.2026, FARM	< LOQ	051-6-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0074 (proposed), 13.08.2026, PP	7.7	051-6-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
47	2025-10	CoQ-PP-2026-0047	KC102501	P060172	Kush Crasher	KC_THC17.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0079 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0079 (proposed), 13.08.2026, PP	Missing / not tested	—	17.04	Grade III, 15.00 – 20.00	051-4-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-4-K/26, 04.03.2026, FARM	< LOQ	051-4-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0078 (proposed), 13.08.2026, PP	8.6	051-4-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
—	2025-10	—	PUM102501	—	Pure Michigen	—	R1	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
55	2025-11	CoQ-PP-2026-0055	PM112501	P060232	Permanent Marker	PM_THC11.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0095 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0095 (proposed), 13.08.2026, PP	Missing / not tested	—	13.33	Grade IV, 9.01 – 14.00	ППК26030, 05.03.2026, CNP	0.03	ППК26030, 05.03.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0094 (proposed), 13.08.2026, PP	8.61	ППК26030, 05.03.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
56	2025-11	CoQ-PP-2026-0056	SCR112501	P060282	Scrambler	SCR_THC18.5:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0097 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0097 (proposed), 13.08.2026, PP	Missing / not tested	—	17.13	Grade III, 16.13 – 20.75	ППК26069, 11.05.2026, CNP	0.04	ППК26069, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0096 (proposed), 13.08.2026, PP	6.84	ППК26069, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
61	2026-01	CoQ-PP-2026-0061	FB012601/1	P060322	Fat Bastard	FB_THC16.5:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0107 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0107 (proposed), 13.08.2026, PP	Missing / not tested	—	14.68	Grade III, 13.68 – 19.25	ППК26067, 11.05.2026, CNP	0.04	ППК26067, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0106 (proposed), 13.08.2026, PP	7.67	ППК26067, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
—	2026-01	—	CC012603	—	CashCow	—	R1	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
—	2026-01	—	JD012603/01	—	Jelly Donuts	—	R1	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
68	2026-01	CoQ-PP-2026-0068	JD012603/2	P060412	Jelly Donutz	JD_THC20:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0117 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0117 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26113, 30.06.2026, CNP	20.54	Grade III, 18.00 – 22.00	ППК26113, 30.06.2026, CNP	0.05	ППК26113, 30.06.2026, CNP	0.05	ППК26113, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26113, 30.06.2026, CNP	7.52	ППК26113, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
69	2026-01	CoQ-PP-2026-0069	JD012603/2V	P060422	Jelly Donutz	JD_THC15:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0118 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0118 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26111, 30.06.2026, CNP	15.16	Grade IV, 12.50 – 18.00	ППК26111, 30.06.2026, CNP	BLQ (below limit of quantification)	ППК26111, 30.06.2026, CNP	0.04	ППК26111, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26111, 30.06.2026, CNP	7.04	ППК26111, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
