Tranche	Batch	P lot	Strain	Determination	State	Document to cite	Issued	Laboratory	Where the document is	Blocked: document not issued	What the document prints	Other documents on file that also carry it
1	CC012601/1	P060332	CashCow	8 Loss on drying	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	CC012601/1	P060332	CashCow	9 Microbiological purity	READ IN THIS PASS	361/0691/26	01.06.2026	IJZ-MB	in eCoA_DATABASE		7,8 x 10⁴ CFU/g CFU/g; 2,2 x 10⁴ CFU/g CFU/g; < 10 CFU/g CFU/g; Отсутна /g; Отсутна /25 g	
1	CC012601/1	P060332	CashCow	10 Mycotoxins	CITED	197-6-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	
1	CC012601/1	P060332	CashCow	11 Heavy metals	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	CC012601/1	P060332	CashCow	12 Pesticide residues	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	CJ052501/01	P050162	Cap Junky	1 Identification A — appearance	CITED	iCoA-PP_26-022	30.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ052501/01	P050162	Cap Junky	2 Identification B — microscopy	CITED	iCoA-PP_26-022	30.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ052501/01	P050162	Cap Junky	3 Identification C — HPLC	CITED	ППК25280	17.09.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-3-K/26
1	CJ052501/01	P050162	Cap Junky	4 Assay — Total Δ⁹-THC	CITED	ППК25280	17.09.2025	CNP	in eCoA_DATABASE		20.29	197-3-K/26
1	CJ052501/01	P050162	Cap Junky	5 Assay — Total CBD	CITED	ППК25280	17.09.2025	CNP	in eCoA_DATABASE		0.07	197-3-K/26
1	CJ052501/01	P050162	Cap Junky	6 Total CBN	CITED	ППК25280	17.09.2025	CNP	in eCoA_DATABASE		0.02 ᴰ	197-3-K/26
1	CJ052501/01	P050162	Cap Junky	7 Foreign matter	CITED	iCoA-PP_26-022	30.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ052501/01	P050162	Cap Junky	8 Loss on drying	CITED	ППК25280	17.09.2025	CNP	in eCoA_DATABASE		7.93	
1	CJ052501/01	P050162	Cap Junky	9 Microbiological purity	CITED	949-1687-25	17.09.2025	IJZ-MB	in eCoA_DATABASE		2.8×10⁴; 1.7×10⁴; <10³ and >10² ᴿ; Одговара; Одговара	
1	CJ052501/01	P050162	Cap Junky	10 Mycotoxins	CITED	4350-2025	15.09.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-3-M/26
1	CJ052501/01	P050162	Cap Junky	11 Heavy metals	CITED	4350-2025	15.09.2025	IJZ	in eCoA_DATABASE		0.085; Н.Д.; Н.Д.; Н.Д.	
1	CJ052501/01	P050162	Cap Junky	12 Pesticide residues	CITED	4350-2025	15.09.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 24 compounds)	
1	CJ062501/2	P050212	Cap Junky	1 Identification A — appearance	CITED	iCoA-PP_26-027	18.11.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ062501/2	P050212	Cap Junky	2 Identification B — microscopy	CITED	iCoA-PP_26-027	18.11.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ062501/2	P050212	Cap Junky	3 Identification C — HPLC	CITED	ППК25322	23.10.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-4-K/26
1	CJ062501/2	P050212	Cap Junky	4 Assay — Total Δ⁹-THC	CITED	ППК25322	23.10.2025	CNP	in eCoA_DATABASE		16.56	197-4-K/26
1	CJ062501/2	P050212	Cap Junky	5 Assay — Total CBD	CITED	ППК25322	23.10.2025	CNP	in eCoA_DATABASE		0.14	197-4-K/26
1	CJ062501/2	P050212	Cap Junky	6 Total CBN	CITED	ППК25322	23.10.2025	CNP	in eCoA_DATABASE		BLQ ᴰ	197-4-K/26
1	CJ062501/2	P050212	Cap Junky	7 Foreign matter	CITED	iCoA-PP_26-027	18.11.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ062501/2	P050212	Cap Junky	8 Loss on drying	CITED	ППК25322	23.10.2025	CNP	in eCoA_DATABASE		6.70	
1	CJ062501/2	P050212	Cap Junky	9 Microbiological purity	CITED	1032-1851-25	17.10.2025	IJZ-MB	in eCoA_DATABASE		2.2 x 10⁴; 4.9 x 10⁴; <10⁴ и >10³; Одговара; Одговара	534/1065/26
1	CJ062501/2	P050212	Cap Junky	10 Mycotoxins	CITED	4908-2025	24.10.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-4-M/26
1	CJ062501/2	P050212	Cap Junky	11 Heavy metals	CITED	4908-2025	24.10.2025	IJZ	in eCoA_DATABASE		0.026; 0.002; 0.011; 0.012	
1	CJ062501/2	P050212	Cap Junky	12 Pesticide residues	CITED	4908-2025	24.10.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 28 compounds)	
1	CJ082501/2	P060032	Cap Junky	1 Identification A — appearance	CITED	iCoA-PP_26-039	29.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ082501/2	P060032	Cap Junky	2 Identification B — microscopy	CITED	iCoA-PP_26-039	29.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ082501/2	P060032	Cap Junky	3 Identification C — HPLC	CITED	ППК26003	21.01.2026	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-5-K/26
1	CJ082501/2	P060032	Cap Junky	4 Assay — Total Δ⁹-THC	CITED	ППК26003	21.01.2026	CNP	in eCoA_DATABASE		20.84	197-5-K/26
1	CJ082501/2	P060032	Cap Junky	5 Assay — Total CBD	CITED	ППК26003	21.01.2026	CNP	in eCoA_DATABASE		0.08	197-5-K/26
1	CJ082501/2	P060032	Cap Junky	6 Total CBN	CITED	ППК26003	21.01.2026	CNP	in eCoA_DATABASE		ND ᴰ	197-5-K/26
1	CJ082501/2	P060032	Cap Junky	7 Foreign matter	CITED	iCoA-PP_26-039	29.01.2026	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	CJ082501/2	P060032	Cap Junky	8 Loss on drying	CITED	ППК26003	21.01.2026	CNP	in eCoA_DATABASE		7.37	
1	CJ082501/2	P060032	Cap Junky	9 Microbiological purity	CITED	4-0007-26	20.01.2026	IJZ-MB	in eCoA_DATABASE		9.5×10²; 1.2×10³; <10; Одговара; Одговара	
1	CJ082501/2	P060032	Cap Junky	10 Mycotoxins	CITED	82-2026	02.02.2026	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	
1	CJ082501/2	P060032	Cap Junky	11 Heavy metals	CITED	82-2026	02.02.2026	IJZ	in eCoA_DATABASE		0.073; н.д.; н.д.; н.д.	
1	CJ082501/2	P060032	Cap Junky	12 Pesticide residues	CITED	82-2026	02.02.2026	IJZ	in eCoA_DATABASE		≤ LOQ (all 29 compounds)	
1	FB012602	P060352	Fat Bastard	1 Identification A — appearance	CITED	iCoA-PP_26-067	23.05.2026	PP	planned, NOT ISSUED (2026-05-28)	YES — the certificate has not been issued	Conforms	
1	FB012602	P060352	Fat Bastard	2 Identification B — microscopy	CITED	iCoA-PP_26-067	23.05.2026	PP	planned, NOT ISSUED (2026-05-28)	YES — the certificate has not been issued	Conforms	
1	FB012602	P060352	Fat Bastard	3 Identification C — HPLC	CITED	197-7-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
1	FB012602	P060352	Fat Bastard	4 Assay — Total Δ⁹-THC	CITED	197-7-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		24.09 %w/w	
1	FB012602	P060352	Fat Bastard	5 Assay — Total CBD	CITED	197-7-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	FB012602	P060352	Fat Bastard	6 Total CBN	CITED	197-7-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	FB012602	P060352	Fat Bastard	7 Foreign matter	CITED	iCoA-PP_26-067	23.05.2026	PP	planned, NOT ISSUED (2026-05-28)	YES — the certificate has not been issued	Conforms	
1	FB012602	P060352	Fat Bastard	8 Loss on drying	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	FB012602	P060352	Fat Bastard	9 Microbiological purity	READ IN THIS PASS	366/0696/26	01.06.2026	IJZ-MB	in eCoA_DATABASE		6,3 x 10⁴ CFU/g CFU/g; 2,2 x 10⁴ CFU/g CFU/g; < 10 CFU/g CFU/g; Отсутна /g; Отсутна /25 g	
1	FB012602	P060352	Fat Bastard	10 Mycotoxins	CITED	197-7-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	
1	FB012602	P060352	Fat Bastard	11 Heavy metals	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	FB012602	P060352	Fat Bastard	12 Pesticide residues	NOTHING ON FILE	—	—	—	no document anywhere		—	
1	GG012603	P060402	GG4	1 Identification A — appearance	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		Одговара; Одговара	
1	GG012603	P060402	GG4	2 Identification B — microscopy	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		Одговара; Одговара	
1	GG012603	P060402	GG4	3 Identification C — HPLC	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	197-8-K/26
1	GG012603	P060402	GG4	4 Assay — Total Δ⁹-THC	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		17.59 % %; 17.59 % %	197-8-K/26
1	GG012603	P060402	GG4	5 Assay — Total CBD	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		0.05 % %; 0.05 % %	197-8-K/26
1	GG012603	P060402	GG4	6 Total CBN	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		0.15 % %; 0.15 % %	197-8-K/26
1	GG012603	P060402	GG4	7 Foreign matter	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		0.09 % (Одговара) %; 0.09 % (Одговара) %	
1	GG012603	P060402	GG4	8 Loss on drying	CITED	ППК26114	30.06.2026	CNP	in eCoA_DATABASE		6.48 % %; 6.48 % %	
1	GG012603	P060402	GG4	9 Microbiological purity	READ IN THIS PASS	404/0787/26	24.06.2026	IJZ-MB	in eCoA_DATABASE		5 x 10³ CFU/g CFU/g; 4,1 x 10³ CFU/g CFU/g; < 10 CFU/g CFU/g; Отсутна /g; Отсутна /25 g	
1	GG012603	P060402	GG4	10 Mycotoxins	CITED	197-8-M-26	10.08.2026	FHM-M	in eCoA_DATABASE		ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg; ND µg/kg	3659/2026
1	GG012603	P060402	GG4	11 Heavy metals	READ IN THIS PASS	3659/2026	22.06.2026	IJZ	in eCoA_DATABASE		0,059 mg/kg; 0,03 mg/kg(l); 0,05 mg/kg(l); 0,015 mg/kg(l)	
1	GG012603	P060402	GG4	12 Pesticide residues	READ IN THIS PASS	3659/2026	22.06.2026	IJZ	in eCoA_DATABASE		< 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01 mg/kg; < 0,01	
1	GG1024_01	P050092	Gorilla Glue	1 Identification A — appearance	CITED	iCoA-PP_26-015	31.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GG1024_01	P050092	Gorilla Glue	2 Identification B — microscopy	CITED	iCoA-PP_26-015	31.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GG1024_01	P050092	Gorilla Glue	3 Identification C — HPLC	CITED	ППК25104	17.04.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-9-K/26
1	GG1024_01	P050092	Gorilla Glue	4 Assay — Total Δ⁹-THC	CITED	ППК25104	17.04.2025	CNP	in eCoA_DATABASE		17.22	197-9-K/26
1	GG1024_01	P050092	Gorilla Glue	5 Assay — Total CBD	CITED	ППК25104	17.04.2025	CNP	in eCoA_DATABASE		0.05	197-9-K/26
1	GG1024_01	P050092	Gorilla Glue	6 Total CBN	CITED	ППК25104	17.04.2025	CNP	in eCoA_DATABASE		ND ᴰ	197-9-K/26
1	GG1024_01	P050092	Gorilla Glue	7 Foreign matter	CITED	iCoA-PP_26-015	31.07.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GG1024_01	P050092	Gorilla Glue	8 Loss on drying	CITED	ППК25104	17.04.2025	CNP	in eCoA_DATABASE		7.54	
1	GG1024_01	P050092	Gorilla Glue	9 Microbiological purity	CITED	320-0587-25	14.04.2025	IJZ-MB	in eCoA_DATABASE		5.1 x 10⁴; 4.2 x 10⁴; <10; Одговара; Одговара	
1	GG1024_01	P050092	Gorilla Glue	10 Mycotoxins	CITED	1766-2025	11.04.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-9-M/26
1	GG1024_01	P050092	Gorilla Glue	11 Heavy metals	CITED	1766-2025	11.04.2025	IJZ	in eCoA_DATABASE		0.02; 0.007; 0.015; 0.005	
1	GG1024_01	P050092	Gorilla Glue	12 Pesticide residues	CITED	1766-2025	11.04.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 27 compounds)	
1	GP052501	P050152	Grape Pie	1 Identification A — appearance	CITED	iCoA-PP_26-020	25.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP052501	P050152	Grape Pie	2 Identification B — microscopy	CITED	iCoA-PP_26-020	25.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP052501	P050152	Grape Pie	3 Identification C — HPLC	CITED	ППК25279	19.09.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-10-K/26
1	GP052501	P050152	Grape Pie	4 Assay — Total Δ⁹-THC	CITED	ППК25279	19.09.2025	CNP	in eCoA_DATABASE		18.98	197-10-K/26
1	GP052501	P050152	Grape Pie	5 Assay — Total CBD	CITED	ППК25279	19.09.2025	CNP	in eCoA_DATABASE		0.08	197-10-K/26
1	GP052501	P050152	Grape Pie	6 Total CBN	CITED	ППК25279	19.09.2025	CNP	in eCoA_DATABASE		0.03 ᴰ	197-10-K/26
1	GP052501	P050152	Grape Pie	7 Foreign matter	CITED	iCoA-PP_26-020	25.09.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP052501	P050152	Grape Pie	8 Loss on drying	CITED	ППК25279	19.09.2025	CNP	in eCoA_DATABASE		7.30	
1	GP052501	P050152	Grape Pie	9 Microbiological purity	CITED	946-1684-25	17.09.2025	IJZ-MB	in eCoA_DATABASE		2.1×10⁴ ᴿ; 3.6 x 10⁴; <10² и >10¹; Одговара; Одговара	
1	GP052501	P050152	Grape Pie	10 Mycotoxins	CITED	4348-2025	15.09.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-10-M/26
1	GP052501	P050152	Grape Pie	11 Heavy metals	CITED	4348-2025	15.09.2025	IJZ	in eCoA_DATABASE		0.06; н.д.; н.д.; н.д.	
1	GP052501	P050152	Grape Pie	12 Pesticide residues	CITED	4348-2025	15.09.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 29 compounds)	
1	GP0824_02	P050022	Grape Pie	1 Identification A — appearance	CITED	iCoA-PP_26-007	03.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP0824_02	P050022	Grape Pie	2 Identification B — microscopy	CITED	iCoA-PP_26-007	03.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP0824_02	P050022	Grape Pie	3 Identification C — HPLC	CITED	ППК25139	22.05.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-11-K/26; ППК25174
1	GP0824_02	P050022	Grape Pie	4 Assay — Total Δ⁹-THC	CITED	ППК25139	22.05.2025	CNP	in eCoA_DATABASE		23.79	197-11-K/26; ППК25174
1	GP0824_02	P050022	Grape Pie	5 Assay — Total CBD	CITED	ППК25139	22.05.2025	CNP	in eCoA_DATABASE		0.10	197-11-K/26; ППК25174
1	GP0824_02	P050022	Grape Pie	6 Total CBN	CITED	ППК25139	22.05.2025	CNP	in eCoA_DATABASE		0.02 ᴰ	197-11-K/26; ППК25174
1	GP0824_02	P050022	Grape Pie	7 Foreign matter	CITED	iCoA-PP_26-007	03.06.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP0824_02	P050022	Grape Pie	8 Loss on drying	CITED	ППК25139	22.05.2025	CNP	in eCoA_DATABASE		7.21	ППК25174
1	GP0824_02	P050022	Grape Pie	9 Microbiological purity	CITED	471-0862-25	22.05.2025	IJZ-MB	in eCoA_DATABASE		700; 10; <10^2 и >10; Одговара; Одговара	627/1128/25; 475/0927/26; 476/0928/26
1	GP0824_02	P050022	Grape Pie	10 Mycotoxins	CITED	2471-2025	30.05.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-11-M/26; 3176/2025
1	GP0824_02	P050022	Grape Pie	11 Heavy metals	CITED	2471-2025	30.05.2025	IJZ	in eCoA_DATABASE		н.д.; н.д.; н.д.; н.д.	3176/2025
1	GP0824_02	P050022	Grape Pie	12 Pesticide residues	CITED	2471-2025	30.05.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 29 compounds)	3176/2025
1	GP082501/2	P050322	Grape Pie	1 Identification A — appearance	CITED	iCoA-PP_26-036	26.12.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP082501/2	P050322	Grape Pie	2 Identification B — microscopy	CITED	iCoA-PP_26-036	26.12.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP082501/2	P050322	Grape Pie	3 Identification C — HPLC	CITED	ППК25381	12.12.2025	CNP	in eCoA_DATABASE		Conforms (ImB spec.)	197-12-K/26
1	GP082501/2	P050322	Grape Pie	4 Assay — Total Δ⁹-THC	CITED	ППК25381	12.12.2025	CNP	in eCoA_DATABASE		14.83	197-12-K/26
1	GP082501/2	P050322	Grape Pie	5 Assay — Total CBD	CITED	ППК25381	12.12.2025	CNP	in eCoA_DATABASE		0.11	197-12-K/26
1	GP082501/2	P050322	Grape Pie	6 Total CBN	CITED	ППК25381	12.12.2025	CNP	in eCoA_DATABASE		0.02 % ᴰ	197-12-K/26
1	GP082501/2	P050322	Grape Pie	7 Foreign matter	CITED	iCoA-PP_26-036	26.12.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	GP082501/2	P050322	Grape Pie	8 Loss on drying	CITED	ППК25381	12.12.2025	CNP	in eCoA_DATABASE		6.88	
1	GP082501/2	P050322	Grape Pie	9 Microbiological purity	CITED	1227-2193-25	05.12.2025	IJZ-MB	in eCoA_DATABASE		3.2 x 10³; 5.8 x 10³; <10^4 и >10^3; Одговара; Одговара	
1	GP082501/2	P050322	Grape Pie	10 Mycotoxins	CITED	5889-2025	12.12.2025	IJZ	in eCoA_DATABASE		n.r.; <2; n.r.	197-12-M/26
1	GP082501/2	P050322	Grape Pie	11 Heavy metals	CITED	5889-2025	12.12.2025	IJZ	in eCoA_DATABASE		0.013; 0.003; 0.02; 0.016	
1	GP082501/2	P050322	Grape Pie	12 Pesticide residues	CITED	5889-2025	12.12.2025	IJZ	in eCoA_DATABASE		≤ LOQ (all 29 compounds)	
1	HPA1024	—	High Pro Amnesia	1 Identification A — appearance	CITED	iCoA-PP_26-005	11.04.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024	—	High Pro Amnesia	2 Identification B — microscopy	CITED	iCoA-PP_26-005	11.04.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	HPA1024	—	High Pro Amnesia	3 Identification C — HPLC	CITED	197-13-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
1	HPA1024	—	High Pro Amnesia	4 Assay — Total Δ⁹-THC	CITED	197-13-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		19.68 %w/w	
